,Interval_start,Interval_end,ref_bpm
0,1532376659.0,1532376668.98,12.0
1,1532376669.0,1532376678.98,
2,1532376679.0,1532376688.98,12.0
3,1532376689.0,1532376698.98,
4,1532376699.0,1532376708.98,
5,1532376709.0,1532376718.98,
6,1532376719.0,1532376728.98,
7,1532376729.0,1532376738.98,24.0
8,1532376739.0,1532376748.98,18.0
9,1532376749.0,1532376758.98,
10,1532376759.0,1532376768.98,18.0
11,1532376769.0,1532376778.98,
12,1532376779.0,1532376788.98,12.0
13,1532376789.0,1532376798.98,12.0
14,1532376799.0,1532376808.98,18.0
15,1532376809.0,1532376818.98,12.0
16,1532376819.0,1532376828.98,12.0
17,1532376829.0,1532376838.98,
18,1532376839.0,1532376848.98,18.0
19,1532376849.0,1532376858.98,12.0
20,1532376859.0,1532376868.98,24.0
21,1532376869.0,1532376878.98,
22,1532376879.0,1532376888.98,
23,1532376889.0,1532376898.98,
24,1532376899.0,1532376908.98,
25,1532376909.0,1532376918.98,18.0
26,1532376919.0,1532376928.98,12.0
27,1532376929.0,1532376938.98,
28,1532376939.0,1532376948.98,12.0
29,1532376949.0,1532376958.98,
30,1532376959.0,1532376968.98,
31,1532376969.0,1532376978.98,
32,1532376979.0,1532376988.98,12.0
33,1532376989.0,1532376998.98,12.0
34,1532376999.0,1532377008.98,
35,1532377009.0,1532377018.98,
36,1532377019.0,1532377028.98,12.0
37,1532377029.0,1532377038.98,
38,1532377039.0,1532377048.98,
39,1532377049.0,1532377058.98,12.0
40,1532377059.0,1532377068.98,12.0
41,1532377069.0,1532377078.98,
42,1532377079.0,1532377088.98,18.0
43,1532377089.0,1532377098.98,12.0
44,1532377099.0,1532377108.98,12.0
45,1532377109.0,1532377118.98,12.0
46,1532377119.0,1532377128.98,12.0
47,1532377129.0,1532377138.98,
48,1532377139.0,1532377148.98,
49,1532377149.0,1532377158.98,18.0
50,1532377159.0,1532377168.98,12.0
51,1532377169.0,1532377178.98,12.0
52,1532377179.0,1532377188.98,
53,1532377189.0,1532377198.98,12.0
54,1532377199.0,1532377208.98,12.0
55,1532377209.0,1532377218.98,12.0
56,1532377219.0,1532377228.98,18.0
57,1532377229.0,1532377238.98,
58,1532377239.0,1532377248.98,
59,1532377249.0,1532377258.98,12.0
60,1532377259.0,1532377268.98,
61,1532377269.0,1532377278.98,12.0
62,1532377279.0,1532377288.98,
63,1532377289.0,1532377298.98,
64,1532377299.0,1532377308.98,
65,1532377309.0,1532377318.98,
66,1532377319.0,1532377328.98,
67,1532377329.0,1532377338.98,18.0
68,1532377339.0,1532377348.98,
69,1532377349.0,1532377358.98,12.0
70,1532377359.0,1532377368.98,18.0
71,1532377369.0,1532377378.98,12.0
72,1532377379.0,1532377388.98,12.0
73,1532377389.0,1532377398.98,
74,1532377399.0,1532377408.98,18.0
75,1532377409.0,1532377418.98,18.0
76,1532377419.0,1532377428.98,
77,1532377429.0,1532377438.98,12.0
78,1532377439.0,1532377448.98,12.0
79,1532377449.0,1532377458.98,18.0
80,1532377459.0,1532377468.98,
81,1532377469.0,1532377478.98,12.0
82,1532377479.0,1532377488.98,
83,1532377489.0,1532377498.98,12.0
84,1532377499.0,1532377508.98,18.0
85,1532377509.0,1532377518.98,
86,1532377519.0,1532377528.98,24.0
87,1532377529.0,1532377538.98,12.0
88,1532377539.0,1532377548.98,12.0
89,1532377549.0,1532377558.98,12.0
90,1532377559.0,1532377568.98,12.0
91,1532377569.0,1532377578.98,18.0
92,1532377579.0,1532377588.98,12.0
93,1532377589.0,1532377598.98,18.0
94,1532377599.0,1532377608.98,12.0
95,1532377609.0,1532377618.98,12.0
96,1532377619.0,1532377628.98,18.0
97,1532377629.0,1532377638.98,12.0
98,1532377639.0,1532377648.98,
